wandb: Currently logged in as: lukasskellijs (lgwlab) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.22.3
wandb: Run data is saved locally in runs/analysis-hg-phase-bs2/wandb/run-20260410_083634-rn6f0az8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run analysis-hg-phase-bs2
wandb: ⭐️ View project at
Starting training for 1500 iterations...
Iteration 150/1500: Loss=0.975093, MSE=0.974497, Pen=0.000596, Best=0.975093 (iter 150)
Iteration 300/1500: Loss=0.827535, MSE=0.825656, Pen=0.001880, Best=0.806066 (iter 242)
Iteration 450/1500: Loss=0.800830, MSE=0.798925, Pen=0.001905, Best=0.800830 (iter 450)
Iteration 600/1500: Loss=0.776665, MSE=0.775534, Pen=0.001131, Best=0.776665 (iter 600)
Iteration 750/1500: Loss=0.764026, MSE=0.762742, Pen=0.001284, Best=0.762721 (iter 749)
Iteration 900/1500: Loss=0.752375, MSE=0.750983, Pen=0.001392, Best=0.752375 (iter 900)
Iteration 1050/1500: Loss=0.733976, MSE=0.732821, Pen=0.001155, Best=0.733885 (iter 1049)
Iteration 1200/1500: Loss=0.727939, MSE=0.726829, Pen=0.001110, Best=0.727929 (iter 1199)
Iteration 1350/1500: Loss=0.718927, MSE=0.717883, Pen=0.001044, Best=0.718927 (iter 1350)
Iteration 1500/1500: Loss=0.711302, MSE=0.710378, Pen=0.000924, Best=0.711302 (iter 1500)

Restoring best model from iteration 1500 (loss=0.711302)

Saving model parameters...
Best model parameters (iteration 1500, loss=0.711302) saved to runs/analysis-hg-phase-bs2/parameters
Transformation 'identity' matrix saved to runs/analysis-hg-phase-bs2/parameters/transformation_matrix.npy

Generating unitary transformation comparison...
Unitary comparison plot saved to runs/analysis-hg-phase-bs2/plots/unitary_comparison.png
  Fidelity: 0.4486
  MSE: 0.007104
Actual unitary matrix saved to runs/analysis-hg-phase-bs2/parameters/actual_unitary_matrix.npy
Run summary saved to runs/analysis-hg-phase-bs2/summary.json

================================================================================
Training completed successfully!
Results saved to: runs/analysis-hg-phase-bs2
================================================================================
   2%|▏         | 27/1500 [01:53<1:28:47,  3.62s/it]
Training:   9%|▊         | 128/1500 [08:59<1:42:13,  4.47s/it]
Training:   9%|▊         | 129/1500 [09:04<1:42:00,  4.46s/it]
Training:   9%|▊         | 130/1500 [09:08<1:41:41,  4.45s/it]
Training:   9%|▊         | 131/1500 [09:13<1:42:05,  4.47s/it]
Training:   9%|▉         | 132/1500 [09:17<1:41:49,  4.47s/it]
Training:   9%|▉         | 133/1500 [09:22<1:41:28,  4.45s/it]
Training:   9%|▉         | 134/1500 [09:26<1:41:09,  4.44s/it]
Training:   9%|▉         | 135/1500 [09:31<1:41:00,  4.44s/it]
Training:   9%|▉         | 136/1500 [09:35<1:41:17,  4.46s/it]
Training:   9%|▉         | 137/1500 [09:39<1:40:52,  4.44s/it]
Training:   9%|▉         | 138/1500 [09:44<1:40:36,  4.43s/it]
Training:   9%|▉         | 139/1500 [09:48<1:40:32,  4.43s/it]
Training:   9%|▉         | 140/1500 [09:53<1:40:58,  4.45s/it]
Training:   9%|▉         | 141/1500 [09:57<1:40:35,  4.44s/it]
Training:   9%|▉         | 142/1500 [10:02<1:40:30,  4.44s/it]
Training:  10%|▉         | 143/1500 [10:06<1:40:27,  4.44s/it]
Training:  10%|▉         | 144/1500 [10:11<1:40:31,  4.45s/it]
Training:  10%|▉         | 145/1500 [10:15<1:41:05,  4.48s/it]
Training:  10%|▉         | 146/1500 [10:20<1:40:48,  4.47s/it]
Training:  10%|▉         | 147/1500 [10:24<1:40:41,  4.47s/it]
Training:  10%|▉         | 148/1500 [10:28<1:40:26,  4.46s/it]
Training:  10%|▉         | 149/1500 [10:33<1:39:59,  4.44s/it]
Training:  10%|█         | 150/1500 [10:37<1:40:36,  4.47s/it]
Training:  10%|█         | 151/1500 [10:42<1:40:08,  4.45s/it]
Training:  10%|█         | 152/1500 [10:46<1:39:53,  4.45s/it]
Training:  10%|█         | 153/1500 [10:51<1:39:36,  4.44s/it]
Training:  10%|█         | 154/1500 [10:55<1:39:18,  4.43s/it]
Training:  10%|█         | 155/1500 [11:00<1:39:44,  4.45s/it]
Training:  10%|█         | 156/1500 [11:04<1:39:48,  4.46s/it]
Training:  10%|█         | 157/1500 [11:09<1:39:53,  4.46s/it]
Training:  11%|█         | 158/1500 [11:13<1:39:33,  4.45s/it]
Training:  11%|█         | 159/1500 [11:17<1:39:43,  4.46s/it]
Training:  11%|█         | 160/1500 [11:22<1:39:14,  4.44s/it]
Training:  11%|█         | 161/1500 [11:26<1:38:44,  4.42s/it]
Training:  11%|█         | 162/1500 [11:31<1:38:27,  4.42s/it]
Training:  11%|█         | 163/1500 [11:35<1:38:09,  4.41s/it]
Training:  11%|█         | 164/1500 [11:39<1:38:25,  4.42s/it]
Training:  11%|█         | 165/1500 [11:44<1:38:01,  4.41s/it]
Training:  11%|█         | 166/1500 [11:48<1:37:52,  4.40s/it]
Training:  11%|█         | 167/1500 [11:53<1:37:44,  4.40s/it]
Training:  11%|█         | 168/1500 [11:57<1:37:37,  4.40s/it]
Training:  11%|█▏        | 169/1500 [12:01<1:37:51,  4.41s/it]
Training:  11%|█▏        | 170/1500 [12:06<1:37:46,  4.41s/it]
Training:  11%|█▏        | 171/1500 [12:10<1:37:35,  4.41s/it]
Training:  11%|█▏        | 172/1500 [12:15<1:36:55,  4.38s/it]
Training:  12%|█▏        | 173/1500 [12:19<1:36:43,  4.37s/it]
Training:  12%|█▏        | 174/1500 [12:23<1:37:28,  4.41s/it]
Training:  12%|█▏        | 175/1500 [12:28<1:37:21,  4.41s/it]
Training:  12%|█▏        | 176/1500 [12:32<1:36:49,  4.39s/it]
Training:  12%|█▏        | 177/1500 [12:37<1:36:26,  4.37s/it]
Training:  12%|█▏        | 178/1500 [12:41<1:36:49,  4.39s/it]
Training:  12%|█▏        | 179/1500 [12:45<1:36:18,  4.37s/it]
Training:  12%|█▏        | 180/1500 [12:50<1:36:08,  4.37s/it]
Training:  12%|█▏        | 181/1500 [12:54<1:36:18,  4.38s/it]
Training:  12%|█▏        | 182/1500 [12:58<1:36:17,  4.38s/it]
Training:  12%|█▏        | 183/1500 [13:03<1:36:40,  4.40s/it]
Training:  12%|█▏        | 184/1500 [13:07<1:36:06,  4.38s/it]
Training:  12%|█▏        | 185/1500 [13:12<1:35:37,  4.36s/it]
Training:  12%|█▏        | 186/1500 [13:16<1:35:31,  4.36s/it]
Training:  12%|█▏        | 187/1500 [13:20<1:35:12,  4.35s/it]
Training:  13%|█▎        | 188/1500 [13:25<1:36:09,  4.40s/it]
Training:  13%|█▎        | 189/1500 [13:29<1:35:59,  4.39s/it]
Training:  13%|█▎        | 190/1500 [13:33<1:35:34,  4.38s/it]
Training:  13%|█▎        | 191/1500 [13:38<1:35:18,  4.37s/it]
Training:  13%|█▎        | 192/1500 [13:42<1:35:00,  4.36s/it]
